#,Year,Authors,PubMed ID,DOI
1,2026,LeBeau et al.,42087898,10.1016/j.cdnut.2026.107690
2,2026,Oh et al.,42002260,10.1016/j.tjnut.2026.101541
3,2024,Clarke et al.,39886351,10.1016/j.cdnut.2024.104451
4,2023,Amen et al.,36904251,10.3390/nu15051253
5,2023,Jones et al.,37180485,10.1017/jns.2023.39
6,2023,Jung et al.,37513613,10.3390/nu15143195
7,2023,Oh et al.,37927031,10.1177/09612033231213145
8,2022,Jehi et al.,35687008,10.1017/S0007114522001751
9,2022,Oh et al.,35786051,10.1177/09612033221112522
10,2022,Oh et al.,35759069,10.1007/s10935-022-00691-2
11,2021,Dehom et al.,33919563,10.3390/ijerph18084297
12,2021,Jung et al.,33562090,10.3390/nu13020535
13,2021,Lee et al.,34616550,10.1017/jns.2021.76
14,2021,Oh et al.,34241788,10.1007/s13187-021-02065-4
15,2021,Rajaram et al.,34455809,10.1161/circulationaha.121.054051
16,2021,Segovia-Siapco et al.,34960040,10.3390/nu13124489
17,2020,Al Abdrabalnabi et al.,32053984,10.3390/nu12020451
18,2020,Haddad et al.,32064447,10.1093/cdn/nzaa008
19,2020,Sala-Vila et al.,31912155,10.1093/ajcn/nqz328
20,2020,Segovia-Siapco et al.,31906138,10.3390/nu12010110
21,2019,Haddad Tabrizi et al.,30955400,10.1080/19390211.2019.1577937
22,2019,Heskey et al.,30909592,10.3390/nu11030691
23,2019,Mejia et al.,N/A,10.1080/19320248.2019.1595251
24,2018,Bitok et al.,30231466,10.3390/nu10091317
25,2018,Damayanti et al.,29867046,10.3390/nu10060722
26,2018,Haddad et al.,30096700,10.1016/j.eatbeh.2018.08.001
27,2018,Sabaté et al.,30329007,10.1093/ajcn/nqy213
28,2017,Burkholder-Cooley et al.,28122784,10.3945/ajcn.116.137174
29,2017,Cupino et al.,29103517,10.1016/j.carbpol.2017.10.021
30,2017,Przekop et al.,30100297,10.1016/j.jbmt.2017.08.009
31,2017,Segovia-Siapco et al.,28712053,10.1007/s00394-017-1504-1
32,2016,Segovia-Siapco et al.,N/A,10.1186/s40795-016-0080-8
33,2015,Przekop et al.,25892375,10.1016/j.jbmt.2014.04.011
34,2015,Saghari et al.,25794765,10.1016/j.annepidem.2015.03.006
35,2015,Tonstad et al.,25263477,10.1017/S1368980014002183
36,2014,Haddad et al.,24410903,10.1186/1475-2891-13-4
37,2014,Jaceldo-Siegl et al.,24416351,10.1371/journal.pone.0085133
38,2014,Jacobsen et al.,24741329,10.2147/IJWH.S57137
39,2014,Segovia-Siapco et al.,24889551,10.1186/1475-2891-13-54
40,2014,West et al.,24726349,10.1016/j.jand.2014.02.012
41,2014,Wien et al.,24450471,10.1186/1475-2891-13-10
42,2013,Cho et al.,24201389,10.1097/01.dcr.0000436362.81611.de
43,2013,Ibrayev et al.,23833686,10.7150/jca.6442
44,2013,Jacobsen et al.,23611121,10.1089/jwh.2012.3727
45,2013,Sakamoto et al.,22770642,10.1016/j.numecd.2012.04.014
46,2013,Tonstad et al.,24264226,10.3390/nu5114642
47,2013,Tonstad et al.,21983060,10.1016/j.numecd.2011.07.004
48,2013,Wien et al.,24279738,10.1186/1475-2891-12-155
49,2012,Jacobsen et al.,23224589,10.1007/s10654-012-9749-8
50,2012,Przekop et al.,23139343,
51,2011,Hudthagosol et al.,21106921,10.3945/jn.110.121269
52,2011,Jacobson et al.,21701914,10.1007/s10654-011-9598-x
53,2011,Spencer-Hwang et al.,21778006,10.1053/j.ajkd.2011.05.017
54,2010,Choi et al.,20400378,10.1016/j.jpain.2010.01.267
55,2010,Haviland et al.,20382432,10.1016/j.psychres.2009.08.017
56,2010,Jaceldo-Siegl et al.,19968897,10.1017/S1368980009992072
57,2010,Przekop et al.,21044260,10.1111/j.1526-4637.2010.00988.x
58,2010,Sabaté et al.,20458092,10.1001/archinternmed.2010.79
59,2010,Wien et al.,20496049,10.1007/s11745-010-3430-3
60,2010,Wien et al.,20833991,10.1080/07315724.2010.10719833
61,2009,Jacobsen et al.,19188208,10.1093/ije/dyn251
